,id,market_cap_usd
957,songcoin,45128.0
958,ego,45044.0
959,tagrcoin,44956.0
960,pulse,42939.0
961,slevin,42625.0
962,flavorcoin,41837.0
963,genstake,40616.0
964,brat,40159.0
965,javascript-token,39194.0
966,cthulhu-offerings,37483.0
967,ereal,36914.0
968,agrolifecoin,35709.0
969,vault-coin,34250.0
970,posex,33458.0
971,roofs,32532.0
972,luna-coin,32117.0
973,letitride,31782.0
974,zonecoin,30691.0
975,high-voltage,30661.0
976,mtmgaming,30275.0
977,doubloon,30170.0
978,kingn-coin,30148.0
979,osmiumcoin,30116.0
980,dpay,29623.0
981,zayedcoin,28906.0
982,wild-beast-block,28731.0
983,cabbage,27589.0
984,impact,27404.0
985,dollar-online,26785.0
986,bnrtxcoin,26603.0
987,healthywormcoin,25947.0
988,sydpak,23530.0
989,plncoin,23521.0
990,tristar-coin,23277.0
991,destiny,22022.0
992,dix-asset,20374.0
993,biobar,19838.0
994,speedcash,19319.0
995,ibank,18689.0
996,tradecoin-v2,18360.0
997,qibuck-asset,17291.0
998,xonecoin,16554.0
999,save-and-gain,16106.0
1000,geertcoin,15455.0
1001,magnum,14834.0
1002,selfiecoin,13492.0
1003,p7coin,13221.0
1004,gbcgoldcoin,12928.0
1005,das,12444.0
1006,rsgpcoin,12266.0
1007,bitvolt,11346.0
1008,morningstar-payments,9672.0
1009,socialcoin-socc,9530.0
1010,frazcoin,9382.0
1011,nodecoin,8400.0
1012,concoin,6705.0
1013,burstocean,5865.0
1014,ccminer,5277.0
1015,project-x,4896.0
1016,wallet-builders-coin,4256.0
1017,lex4all,3900.0
1018,ebittree-coin,3643.0
1019,sojourn,3514.0
1020,pizzacoin,2931.0
1021,enigma,2303.0
1022,ulatech,2302.0
1023,swaptoken,2288.0
1024,digital-credits,2187.0
1025,digital-money-bits,515.0
1026,mantracoin,514.0
1027,future-digital-currency,251.0
1028,environ,136.0
1029,caliphcoin,100.0
1030,falcoin,23.0
1031,applecoin-apw,10.0
